common_name,scientific_name,wikipedia_characteristics,condensed_description,very_short_description
hog badger genus,arctonyx,"The Hog Badger is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Hog Badger) with physical traits typical of its group.,Distinctive natural animal form.
honey badger,mellivora capensis,"The Honey Badger is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Honey Badger) with physical traits typical of its group.,Distinctive natural animal form.
howler monkey genus,alouatta,"A highly agile primate (Howler Monkey) with forward-facing eyes, dexterous hands, and a relatively long tail used for balance or grasping.",A dexterous primate (Howler Monkey) with forward-facing eyes and a long tail.,"Agile primate, dexterous hands, long tail."
human,homo sapiens,"The Human is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Human) with physical traits typical of its group.,Distinctive natural animal form.
impala,aepyceros melampus,"The Impala is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Impala) with physical traits typical of its group.,Distinctive natural animal form.
jaguar,panthera onca,"The Jaguar is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Jaguar) with physical traits typical of its group.,Distinctive natural animal form.
japanese macaque,macaca fuscata,"A highly agile primate (Japanese Macaque) with forward-facing eyes, dexterous hands, and a relatively long tail used for balance or grasping.",A dexterous primate (Japanese Macaque) with forward-facing eyes and a long tail.,"Agile primate, dexterous hands, long tail."
kangaroo family,macropodidae,"The Kangaroo is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Kangaroo) with physical traits typical of its group.,Distinctive natural animal form.
kinkajou,potos flavus,"The Kinkajou is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Kinkajou) with physical traits typical of its group.,Distinctive natural animal form.
kirk's dik-dik,madoqua kirkii,"The Kirk'S Dik-Dik is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Kirk'S Dik-Dik) with physical traits typical of its group.,Distinctive natural animal form.
klipspringer,oreotragus oreotragus,"The Klipspringer is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Klipspringer) with physical traits typical of its group.,Distinctive natural animal form.
koala,phascolarctos cinereus,"The Koala is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Koala) with physical traits typical of its group.,Distinctive natural animal form.
kob,kobus kob,"The Kob is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Kob) with physical traits typical of its group.,Distinctive natural animal form.
leaf monkeys genus,presbytis,"A highly agile primate (Leaf Monkeys) with forward-facing eyes, dexterous hands, and a relatively long tail used for balance or grasping.",A dexterous primate (Leaf Monkeys) with forward-facing eyes and a long tail.,"Agile primate, dexterous hands, long tail."
leopard,panthera pardus,"A carnivorous feline (Leopard) with a flexible body, sharp retractable claws, and a coat typically marked by spots, stripes, or a uniform color.","A flexible, predatory feline (Leopard) with sharp claws and distinct coat patterns.","Flexible feline body, sharp claws, patterned coat."
leopard cat,prionailurus bengalensis,"A carnivorous feline (Leopard Cat) with a flexible body, sharp retractable claws, and a coat typically marked by spots, stripes, or a uniform color.","A flexible, predatory feline (Leopard Cat) with sharp claws and distinct coat patterns.","Flexible feline body, sharp claws, patterned coat."
leopardus species,leopardus,"A carnivorous feline (Leopardus) with a flexible body, sharp retractable claws, and a coat typically marked by spots, stripes, or a uniform color.","A flexible, predatory feline (Leopardus) with sharp claws and distinct coat patterns.","Flexible feline body, sharp claws, patterned coat."
lion,panthera leo,"A carnivorous feline (Lion) with a flexible body, sharp retractable claws, and a coat typically marked by spots, stripes, or a uniform color.","A flexible, predatory feline (Lion) with sharp claws and distinct coat patterns.","Flexible feline body, sharp claws, patterned coat."
llama genus,lama,"The Llama is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Llama) with physical traits typical of its group.,Distinctive natural animal form.
lowland tapir,tapirus terrestris,"The Lowland Tapir is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Lowland Tapir) with physical traits typical of its group.,Distinctive natural animal form.
lycalopex species,lycalopex,"The Lycalopex is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Lycalopex) with physical traits typical of its group.,Distinctive natural animal form.
macaque species,macaca,"A highly agile primate (Macaque) with forward-facing eyes, dexterous hands, and a relatively long tail used for balance or grasping.",A dexterous primate (Macaque) with forward-facing eyes and a long tail.,"Agile primate, dexterous hands, long tail."
malay tapir,tapirus indicus,"The Malay Tapir is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Malay Tapir) with physical traits typical of its group.,Distinctive natural animal form.
maned wolf,chrysocyon brachyurus,"A medium-sized wild canine (Maned Wolf) with an elongated muzzle, erect triangular ears, and a bushy tail.","A wild canine (Maned Wolf) with an elongated muzzle, erect ears, and a bushy tail.","Wild canine, elongated muzzle, bushy tail."
mangabeys genus,cercocebus,"The Mangabeys is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Mangabeys) with physical traits typical of its group.,Distinctive natural animal form.
martes species,martes,"The Martes is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Martes) with physical traits typical of its group.,Distinctive natural animal form.
meerkat,suricata suricatta,"The Meerkat is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Meerkat) with physical traits typical of its group.,Distinctive natural animal form.
mongoose family,herpestidae,"The Mongoose is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Mongoose) with physical traits typical of its group.,Distinctive natural animal form.
moose,alces alces,"The Moose is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Moose) with physical traits typical of its group.,Distinctive natural animal form.
mouflon,ovis orientalis,"The Mouflon is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Mouflon) with physical traits typical of its group.,Distinctive natural animal form.
mountain goat,oreamnos americanus,"The Mountain Goat is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Mountain Goat) with physical traits typical of its group.,Distinctive natural animal form.
mountain zebra,equus zebra,"A large, fast-moving herbivore (Mountain Zebra) characterized by long, slender legs, hooves, and often distinct horns or striking coat patterns.","A large, hooved herbivore (Mountain Zebra) with slender legs and a patterned coat or horns.","Large hooved herbivore, slender legs."
mule deer,odocoileus hemionus,"A graceful, slender-legged ungulate known as Mule Deer, typically featuring a brownish coat and, in males, branching antlers shed annually.","A slender-legged Mule Deer with a brownish coat, where males typically grow branching antlers.","Slender legs, brownish coat, branching antlers."
muntjac genus,muntiacus,"The Muntjac is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Muntjac) with physical traits typical of its group.,Distinctive natural animal form.
muridae family,muridae,"The Muridae is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Muridae) with physical traits typical of its group.,Distinctive natural animal form.
muskrat,ondatra zibethicus,"A small to medium-sized rodent (Muskrat) with a stout or slender body, continuously growing incisors, and often a distinctly bushy or hairless tail.",A small rodent (Muskrat) with prominent incisors and a long tail.,"Small rodent, prominent incisors, long tail."
nilgai,boselaphus tragocamelus,"The Nilgai is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Nilgai) with physical traits typical of its group.,Distinctive natural animal form.
nine-banded armadillo,dasypus novemcinctus,"The Nine-Banded Armadillo is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Nine-Banded Armadillo) with physical traits typical of its group.,Distinctive natural animal form.
north american porcupine,erethizon dorsatum,"The North American Porcupine is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (North American Porcupine) with physical traits typical of its group.,Distinctive natural animal form.
north american river otter,lontra canadensis,"The North American River Otter is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (North American River Otter) with physical traits typical of its group.,Distinctive natural animal form.
northern chamois,rupicapra rupicapra,"The Northern Chamois is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Northern Chamois) with physical traits typical of its group.,Distinctive natural animal form.
northern raccoon,procyon lotor,"The Northern Raccoon is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Northern Raccoon) with physical traits typical of its group.,Distinctive natural animal form.
nutria,myocastor coypus,"The Nutria is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Nutria) with physical traits typical of its group.,Distinctive natural animal form.
nyala,tragelaphus angasii,"The Nyala is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Nyala) with physical traits typical of its group.,Distinctive natural animal form.
ocelot,leopardus pardalis,"The Ocelot is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Ocelot) with physical traits typical of its group.,Distinctive natural animal form.
old world porcupine family,hystricidae,"The Old World Porcupine is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Old World Porcupine) with physical traits typical of its group.,Distinctive natural animal form.
opossum family,didelphidae,"The Opossum is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Opossum) with physical traits typical of its group.,Distinctive natural animal form.
pangolin family,manidae,"The Pangolin is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Pangolin) with physical traits typical of its group.,Distinctive natural animal form.
patas monkey,erythrocebus patas,"A highly agile primate (Patas Monkey) with forward-facing eyes, dexterous hands, and a relatively long tail used for balance or grasping.",A dexterous primate (Patas Monkey) with forward-facing eyes and a long tail.,"Agile primate, dexterous hands, long tail."
pikas genus,ochotona,"The Pikas is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Pikas) with physical traits typical of its group.,Distinctive natural animal form.
pinniped clade,pinniped,"The Pinniped is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Pinniped) with physical traits typical of its group.,Distinctive natural animal form.
plains zebra,equus quagga,"A large, fast-moving herbivore (Plains Zebra) characterized by long, slender legs, hooves, and often distinct horns or striking coat patterns.","A large, hooved herbivore (Plains Zebra) with slender legs and a patterned coat or horns.","Large hooved herbivore, slender legs."
pronghorn,antilocapra americana,"The Pronghorn is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Pronghorn) with physical traits typical of its group.,Distinctive natural animal form.
puma,puma concolor,"The Puma is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Puma) with physical traits typical of its group.,Distinctive natural animal form.
quokka,setonix brachyurus,"The Quokka is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Quokka) with physical traits typical of its group.,Distinctive natural animal form.
raccoon dog,nyctereutes procyonoides,"A medium-sized wild canine (Raccoon Dog) with an elongated muzzle, erect triangular ears, and a bushy tail.","A wild canine (Raccoon Dog) with an elongated muzzle, erect ears, and a bushy tail.","Wild canine, elongated muzzle, bushy tail."
rattus genus,rattus,"A small to medium-sized rodent (Rattus) with a stout or slender body, continuously growing incisors, and often a distinctly bushy or hairless tail.",A small rodent (Rattus) with prominent incisors and a long tail.,"Small rodent, prominent incisors, long tail."
red brocket,mazama americana,"The Red Brocket is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Red Brocket) with physical traits typical of its group.,Distinctive natural animal form.
red deer,cervus elaphus,"A graceful, slender-legged ungulate known as Red Deer, typically featuring a brownish coat and, in males, branching antlers shed annually.","A slender-legged Red Deer with a brownish coat, where males typically grow branching antlers.","Slender legs, brownish coat, branching antlers."
red fox,vulpes vulpes,"A medium-sized wild canine (Red Fox) with an elongated muzzle, erect triangular ears, and a bushy tail.","A wild canine (Red Fox) with an elongated muzzle, erect ears, and a bushy tail.","Wild canine, elongated muzzle, bushy tail."
red kangaroo,osphranter rufus,"The Red Kangaroo is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Red Kangaroo) with physical traits typical of its group.,Distinctive natural animal form.
red panda,ailurus fulgens,"The Red Panda is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Red Panda) with physical traits typical of its group.,Distinctive natural animal form.
red river hog,potamochoerus porcus,"The Red River Hog is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Red River Hog) with physical traits typical of its group.,Distinctive natural animal form.
red squirrel,tamiasciurus hudsonicus,"A small to medium-sized rodent (Red Squirrel) with a stout or slender body, continuously growing incisors, and often a distinctly bushy or hairless tail.",A small rodent (Red Squirrel) with prominent incisors and a long tail.,"Small rodent, prominent incisors, long tail."
red-necked wallaby,macropus rufogriseus,"The Red-Necked Wallaby is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Red-Necked Wallaby) with physical traits typical of its group.,Distinctive natural animal form.
reedbuck genus,redunca,"The Reedbuck is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Reedbuck) with physical traits typical of its group.,Distinctive natural animal form.
reindeer,rangifer tarandus,"A graceful, slender-legged ungulate known as Reindeer, typically featuring a brownish coat and, in males, branching antlers shed annually.","A slender-legged Reindeer with a brownish coat, where males typically grow branching antlers.","Slender legs, brownish coat, branching antlers."
rhinoceros family,rhinocerotidae,"The Rhinoceros is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Rhinoceros) with physical traits typical of its group.,Distinctive natural animal form.
ring-tailed lemur,lemur catta,"A highly agile primate (Ring-Tailed Lemur) with forward-facing eyes, dexterous hands, and a relatively long tail used for balance or grasping.",A dexterous primate (Ring-Tailed Lemur) with forward-facing eyes and a long tail.,"Agile primate, dexterous hands, long tail."
ringtail,bassariscus astutus,"The Ringtail is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Ringtail) with physical traits typical of its group.,Distinctive natural animal form.
roan antelope,hippotragus equinus,"A large, fast-moving herbivore (Roan Antelope) characterized by long, slender legs, hooves, and often distinct horns or striking coat patterns.","A large, hooved herbivore (Roan Antelope) with slender legs and a patterned coat or horns.","Large hooved herbivore, slender legs."
rock hyrax,procavia capensis,"The Rock Hyrax is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Rock Hyrax) with physical traits typical of its group.,Distinctive natural animal form.
sable antelope,hippotragus niger,"A large, fast-moving herbivore (Sable Antelope) characterized by long, slender legs, hooves, and often distinct horns or striking coat patterns.","A large, hooved herbivore (Sable Antelope) with slender legs and a patterned coat or horns.","Large hooved herbivore, slender legs."
saguinus species,saguinus,"The Saguinus is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Saguinus) with physical traits typical of its group.,Distinctive natural animal form.
saiga,saiga tatarica,"The Saiga is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Saiga) with physical traits typical of its group.,Distinctive natural animal form.
saimiri species,saimiri,"The Saimiri is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Saimiri) with physical traits typical of its group.,Distinctive natural animal form.
sambar,rusa unicolor,"The Sambar is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Sambar) with physical traits typical of its group.,Distinctive natural animal form.
sea otter,enhydra lutris,"The Sea Otter is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Sea Otter) with physical traits typical of its group.,Distinctive natural animal form.
serval,leptailurus serval,"The Serval is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Serval) with physical traits typical of its group.,Distinctive natural animal form.
short-beaked echidna,tachyglossus aculeatus,"The Short-Beaked Echidna is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Short-Beaked Echidna) with physical traits typical of its group.,Distinctive natural animal form.
sika deer,cervus nippon,"A graceful, slender-legged ungulate known as Sika Deer, typically featuring a brownish coat and, in males, branching antlers shed annually.","A slender-legged Sika Deer with a brownish coat, where males typically grow branching antlers.","Slender legs, brownish coat, branching antlers."
sloth bear,melursus ursinus,"A large, heavy-set mammal of the Sloth Bear type, possessing thick fur, a stout body, non-retractable claws, and a broad head with rounded ears.","A large, stout bear (Sloth Bear) with thick fur and rounded ears.","Large, thick fur, stout body."
snow leopard,panthera uncia,"A carnivorous feline (Snow Leopard) with a flexible body, sharp retractable claws, and a coat typically marked by spots, stripes, or a uniform color.","A flexible, predatory feline (Snow Leopard) with sharp claws and distinct coat patterns.","Flexible feline body, sharp claws, patterned coat."
south american coati,nasua nasua,"The South American Coati is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (South American Coati) with physical traits typical of its group.,Distinctive natural animal form.
spectacled bear,tremarctos ornatus,"A large, heavy-set mammal of the Spectacled Bear type, possessing thick fur, a stout body, non-retractable claws, and a broad head with rounded ears.","A large, stout bear (Spectacled Bear) with thick fur and rounded ears.","Large, thick fur, stout body."
spilogale species,spilogale,"The Spilogale is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Spilogale) with physical traits typical of its group.,Distinctive natural animal form.
spotted hyaena,crocuta crocuta,"The Spotted Hyaena is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Spotted Hyaena) with physical traits typical of its group.,Distinctive natural animal form.
springbok,antidorcas marsupialis,"The Springbok is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Springbok) with physical traits typical of its group.,Distinctive natural animal form.
squirrel family,sciuridae,"A small to medium-sized rodent (Squirrel) with a stout or slender body, continuously growing incisors, and often a distinctly bushy or hairless tail.",A small rodent (Squirrel) with prominent incisors and a long tail.,"Small rodent, prominent incisors, long tail."
steenbok,raphicerus campestris,"The Steenbok is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Steenbok) with physical traits typical of its group.,Distinctive natural animal form.
striped hyaena,hyaena hyaena,"The Striped Hyaena is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Striped Hyaena) with physical traits typical of its group.,Distinctive natural animal form.
striped skunk,mephitis mephitis,"The Striped Skunk is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Striped Skunk) with physical traits typical of its group.,Distinctive natural animal form.
sun bear,helarctos malayanus,"A large, heavy-set mammal of the Sun Bear type, possessing thick fur, a stout body, non-retractable claws, and a broad head with rounded ears.","A large, stout bear (Sun Bear) with thick fur and rounded ears.","Large, thick fur, stout body."
swamp wallaby,wallabia bicolor,"The Swamp Wallaby is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Swamp Wallaby) with physical traits typical of its group.,Distinctive natural animal form.
tayra,eira barbara,"The Tayra is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Tayra) with physical traits typical of its group.,Distinctive natural animal form.
thomson's gazelle,eudorcas thomsonii,"A large, fast-moving herbivore (Thomson'S Gazelle) characterized by long, slender legs, hooves, and often distinct horns or striking coat patterns.","A large, hooved herbivore (Thomson'S Gazelle) with slender legs and a patterned coat or horns.","Large hooved herbivore, slender legs."
tiger,panthera tigris,"A carnivorous feline (Tiger) with a flexible body, sharp retractable claws, and a coat typically marked by spots, stripes, or a uniform color.","A flexible, predatory feline (Tiger) with sharp claws and distinct coat patterns.","Flexible feline body, sharp claws, patterned coat."
vervet monkey,chlorocebus pygerythrus,"A highly agile primate (Vervet Monkey) with forward-facing eyes, dexterous hands, and a relatively long tail used for balance or grasping.",A dexterous primate (Vervet Monkey) with forward-facing eyes and a long tail.,"Agile primate, dexterous hands, long tail."
walrus,odobenus rosmarus,"The Walrus is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Walrus) with physical traits typical of its group.,Distinctive natural animal form.
water deer,hydropotes inermis,"A graceful, slender-legged ungulate known as Water Deer, typically featuring a brownish coat and, in males, branching antlers shed annually.","A slender-legged Water Deer with a brownish coat, where males typically grow branching antlers.","Slender legs, brownish coat, branching antlers."
waterbuck,kobus ellipsiprymnus,"The Waterbuck is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Waterbuck) with physical traits typical of its group.,Distinctive natural animal form.
weasel species,mustela,"The Weasel is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Weasel) with physical traits typical of its group.,Distinctive natural animal form.
western gray squirrel,sciurus griseus,"A small to medium-sized rodent (Western Gray Squirrel) with a stout or slender body, continuously growing incisors, and often a distinctly bushy or hairless tail.",A small rodent (Western Gray Squirrel) with prominent incisors and a long tail.,"Small rodent, prominent incisors, long tail."
white-nosed coati,nasua narica,"The White-Nosed Coati is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (White-Nosed Coati) with physical traits typical of its group.,Distinctive natural animal form.
white-tailed deer,odocoileus virginianus,"A graceful, slender-legged ungulate known as White-Tailed Deer, typically featuring a brownish coat and, in males, branching antlers shed annually.","A slender-legged White-Tailed Deer with a brownish coat, where males typically grow branching antlers.","Slender legs, brownish coat, branching antlers."
wild boar,sus scrofa,"The Wild Boar is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Wild Boar) with physical traits typical of its group.,Distinctive natural animal form.
wild cat,felis silvestris,"A carnivorous feline (Wild Cat) with a flexible body, sharp retractable claws, and a coat typically marked by spots, stripes, or a uniform color.","A flexible, predatory feline (Wild Cat) with sharp claws and distinct coat patterns.","Flexible feline body, sharp claws, patterned coat."
wolverine,gulo gulo,"The Wolverine is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Wolverine) with physical traits typical of its group.,Distinctive natural animal form.
woodchuck,marmota monax,"The Woodchuck is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Woodchuck) with physical traits typical of its group.,Distinctive natural animal form.
yak,bos grunniens,"The Yak is a distinctive animal characterized by its natural shape and form suitable for its environment, possessing specialized traits common to its taxonomic group.",A distinctly shaped animal (Yak) with physical traits typical of its group.,Distinctive natural animal form.
yellow-bellied marmot,marmota flaviventris,"A small to medium-sized rodent (Yellow-Bellied Marmot) with a stout or slender body, continuously growing incisors, and often a distinctly bushy or hairless tail.",A small rodent (Yellow-Bellied Marmot) with prominent incisors and a long tail.,"Small rodent, prominent incisors, long tail."
